date,RO
2020-Mar-22,1.908439595
2020-Mar-23,1.827348049
2020-Mar-24,1.753252881
2020-Mar-25,1.685860442
2020-Mar-26,1.620245821
2020-Mar-27,1.558099616
2020-Mar-28,1.50287017
2020-Mar-29,1.451288126
2020-Mar-30,1.405976996
2020-Mar-31,1.36575249
2020-Apr-01,1.327536899
2020-Apr-02,1.290933502
2020-Apr-03,1.256181488
2020-Apr-04,1.224076486
2020-Apr-05,1.195817075
2020-Apr-06,1.170073315
2020-Apr-07,1.148235858
2020-Apr-08,1.129121463
2020-Apr-09,1.115117446
2020-Apr-10,1.103199289
2020-Apr-11,1.090198256
2020-Apr-12,1.08073322
2020-Apr-13,1.071939228
2020-Apr-14,1.067924647
2020-Apr-15,1.065740415
2020-Apr-16,1.061428876
2020-Apr-17,1.06031338
2020-Apr-18,1.063598972
2020-Apr-19,1.067635192
2020-Apr-20,1.076485879
2020-Apr-21,1.082692553
2020-Apr-22,1.088685432
2020-Apr-23,1.092983931
2020-Apr-24,1.097433939
2020-Apr-25,1.099824682
2020-Apr-26,1.101771186
2020-Apr-27,1.100994431
2020-Apr-28,1.099324932
2020-Apr-29,1.095609023
2020-Apr-30,1.086839845
